file_name,PAI_tree_only,slices_occupied,crown_height_m,elapsed_s,tag,PAI_combined,sbpltnm,Species,DBH,Quadrant,subqu,Lianas,Illumination,Nota,infest_cat,infest_bin,dbh_cm,log_dbh
CECRIN_141903,1.2673775295532,286,14.3,0.31071400642395,141903,2.24140342177039,51,Cecropia insignis,325,2409,34,0,100,NA,None,None,32.5,3.481240089335692
CECRIN_414129,1.94842207519429,197,9.85,0.209326028823853,414129,3.56548121570283,23,Cecropia insignis,302,1404,43,0,100,NA,None,None,30.2,3.407841924380824
CECRIN_440922,1.55032552190098,246,12.3,0.29645299911499,440922,3.56516274572994,77,Cecropia insignis,328,4020,23,80,100,NA,Heavy,Infested,32.8,3.490428515390098
CECRIN_505099,1.31350157968863,263,13.7,0.179352045059204,505099,3.20361749444033,11,Cecropia insignis,303,505,21,0,100,NA,None,None,30.3,3.4111477125153233
CECRIN_505102,1.15969808541973,195,9.75,0.0957269668579102,505102,2.14561655648175,11,Cecropia insignis,206,505,21,0,100,NA,None,None,20.6,3.0252910757955354
CECRIN_513042,0.606385696040869,221,11.1,0.156414985656738,513042,1.28261238337574,23,Cecropia insignis,377,1304,12,0,100,NA,None,None,37.7,3.629660094453965
CECRIN_613031,0.920377622954199,424,21.2,0.264786005020142,613031,3.03232730263158,23,Cecropia insignis,255,1305,11,0,100,NA,None,None,25.5,3.2386784521643803
CECRIN_613037,1.95803573500406,344,17.2,0.628948211669922,613037,3.68985294117647,23,Cecropia insignis,348,1305,12,0,100,NA,None,None,34.8,3.5496173867804286
CECRIN_613049,1.72419484702093,286,14.3,0.318167209625244,613049,3.81690385032146,23,Cecropia insignis,304,1305,22,0,100,NA,None,None,30.4,3.414442608412176
CECRIN_633185,1.44567258624209,220,11,0.147171974182129,633185,2.67565031982942,68,Cecropia insignis,271,3315,23,0,100,NA,None,None,27.1,3.299533727885655
CECRIN_633195,1.90060802400179,200,10,0.291738033294678,633195,3.49789359806542,68,Cecropia insignis,394,3315,22,0,100,NA,None,None,39.4,3.673765816303888
CECRIN_72061,0.59308516223879,112,5.6,0.0772850513458252,72061,1.8940428238287,74,Cecropia insignis,245,3710,41,0,100,NA,None,None,24.5,3.1986731175506815
CECRIN_97121,3.08380162120714,283,14.15,0.362779855728149,97121,5.1791422170063,65,Cecropia insignis,290,3211,14,0,100,NA,None,None,29,3.367295829986474
CECROB_713072,0.488374468780647,242,12.1,0.128950834274292,713072,1.60103963612736,23,Cecropia obtusifolia,235,1305,41,0,100,NA,None,None,23.5,3.1570004211501135
CEIBPE_3608,0.92945711465096,256,12.85,0.564835071563721,3608,1.56020068576039,58,Ceiba pentandra,1453,2905,23,0,110,NA,None,None,145.3,4.9788005705762375
CEIBPE_5213,1.59210449571505,797,39.85,9.61440706253052,5213,12.5923768455548,36,Ceiba pentandra,2130,1908,22,0,100,NA,None,None,213,5.3612921657094255
CHIMPA_28183,6.16700837742504,501,25.05,0.969451904296875,28183,9.21715323166304,94,Chimarrhis parviflora,225,4616,43,0,5,NA,None,None,22.5,3.1135153092103742
CHR2AR_176143,2.32386167856264,234,11.7,0.387836933135986,176143,5.13857906799083,31,Chrysophyllum argenteum,298,1707,23,75,100,NA,Heavy,Infested,29.8,3.3945083935113587
CHR2AR_189893,1.80146903548639,160,8,0.116621971130371,189893,4.75931985294118,49,Chrysophyllum argenteum,221,2316,41,100,100,NA,Heavy,Infested,22.1,3.095577608523707
CHR2AR_596,4.4180531975099004,261,13.25,0.490829944610596,596,8.26240690771722,94,Chrysophyllum argenteum,248,4617,43,95,5,NA,Heavy,Infested,24.8,3.2108436531709366
CHR2AR_6227,7.63758865248227,273,13.85,0.496754169464111,6227,14.3393604872478,23,Chrysophyllum argenteum,280,1304,12,100,80,NA,Heavy,Infested,28,3.332204510175204
CHR2AR_8520,4.89153736725444,314,15.7,0.479989051818848,8520,6.9614861329147,1,Chrysophyllum argenteum,305,21,24,20,50,NA,Light,Infested,30.5,3.417726683613366
