fid,sbpltnm,tag,species,quadrnt,tag6,lianas_2019,notes_2019,notes_2025,liana_tag_1,liana_tag_2,liana_tag_3,liana_tag_4,liana_tag_5,infestation_type,mode_l1,mode_l2,mode_l3,mode_l4,mode_l5,five_plus,x,y,priority
219,74,067044,Triplaris cumingiana,3810,067044,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8481661514799,9.15284379760219,NA
386,74,067050,Heisteria concinna,3810,067050,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8481633583043,9.15284550837002,NA
264,74,067223,Guarea guidonia,3811,067223,5,sub correcte: 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8482799361962,9.15307315110944,NA
112,74,067240,Quararibea asterolepis,3811,067240,0,NA,Not infested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8482951705803,9.15310536291609,completed
282,74,067242,Luehea seemannii,3811,067242,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8483044937216,9.15315003313944,NA
724,74,072061,Cecropia insignis,3710,072061,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8483524545696,9.15285402219629,NA
76,74,072077,Pouteria reticulata,3710,072077,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8483494981881,9.15283491453578,NA
111,74,072086,Quararibea asterolepis,3711,072086,0,NA,Uninfested,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8484683495974,9.15304996947068,completed
645,74,072126,Virola sebifera,3711,072126,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8484453266749,9.15318398276626,dead
773,74,072143,Heisteria concinna,3711,072143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8484445104448,9.1530798906206,NA
744,74,072208,Drypetes standleyi,3711,072208,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8483574018682,9.15312204726654,NA
205,72,077018,Trichilia tuberculata,3612,077018,0,only lianas on the stem,NA,01360419,NA,NA,NA,NA,Both,NA,NA,NA,NA,NA,twining,-79.8486576524755,9.15335710636795,completed
162,72,077140,Tabernaemontana arborea,3612,077140,0,NA,"Mostly lateral spread, crown hard to see, one small twinning liana climbing tree directly.",NA,NA,NA,NA,NA,Both,twining,NA,NA,NA,NA,NA,-79.848523181864,9.15322203420699,completed
332,72,077147,Prioria copaifera,3613,077147,10,NA,NA,NA,NA,NA,NA,NA,Both,twining,twining,hooks,NA,NA,NA,-79.8486242971307,9.15339845430869,completed
495,72,082087,Lacmellea panamensis,3512,082087,95,NA,NA,NA,NA,NA,NA,NA,Both,NA,NA,NA,NA,NA,twining,-79.8487637587819,9.15324232682893,completed
526,72,082091,Alseis blackiana,3512,082091,100,NA,NA,NA,NA,NA,NA,NA,Lateral,NA,NA,NA,NA,NA,NA,-79.8487409900827,9.15324242438534,completed
206,72,082137,Trichilia tuberculata,3512,082137,0,NA,NA,NA,NA,NA,NA,NA,Both,NA,NA,NA,NA,NA,adhesive_roots,-79.8486973741807,9.1533413217446,completed
706,72,082237,Casearia arborea,3513,082237,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.8487590563582,9.15342404426582,NA
