tag6,species,sbpltnm,height_2011,dbh_2011,log_height_2011,log_dbh_2011,slenderness_2011,log_slender_2011,lianas_2011,lianas_2012,lianas_2019,h2_2011_category,gained_by_2019
004385,CORDBI,NA,26.7,299.6735976043737,3.2846635654062037,3.4001087813663817,0.8909693818021664,-0.1154452159601777,0,0,0,remained uninfested,0
004836,CORDBI,NA,27.5,349.9880949200251,3.3141860046725258,3.555314046396693,0.7857410123131177,-0.24112804172416724,0,0,0,remained uninfested,0
000805,CUPALA,NA,26.1,496.0125723472708,3.261935314328648,3.904016180883976,0.5261963396711392,-0.6420808665553285,0,0,1,gained infestation,1
004443,DENDAR,NA,17.9,285.19495382239205,2.884800712846709,3.3505879019196905,0.6276408386646068,-0.46578718907298117,0,2,1,gained infestation,1
001390,DENDAR,NA,21.5,451.4533317948347,3.068052935133617,3.809886911940061,0.4762397015550388,-0.7418339768064437,0,2,0,remained uninfested,0
001089,DENDAR,NA,30.7,775.4586917379504,3.4242626545931514,4.350869621586101,0.3958947178887822,-0.9266069669929496,0,0,0,remained uninfested,0
138502,DIPTPA,NA,35.1,496.84936884655434,3.55820113047182,3.9057018063726767,0.7064515364382035,-0.3475006759008564,0,0,0,remained uninfested,0
007221,DIPTPA,NA,39.9,736.2146139177391,3.686376323895818,4.298936578226201,0.5419615319461483,-0.6125602543303826,0,0,0,remained uninfested,0
007715,DIPTPA,NA,40.5,1201.9294559087753,3.7013019741124933,4.789098331451037,0.3369582116562579,-1.0877963573385436,0,0,0,remained uninfested,0
007173,DIPTPA,NA,41.4,1073.256821023028,3.7232808808312687,4.6758679695742655,0.38574178322517005,-0.9525870887429966,0,0,0,remained uninfested,0
005440,DIPTPA,NA,41.7,940.7096894251041,3.730501128804756,4.5440494861594765,0.4432823480906647,-0.813548357354721,0,0,0,remained uninfested,0
000684,DIPTPA,91,41.9,837.4839422319047,3.735285826928092,4.427816997066921,0.5003081000972508,-0.6925311701388286,NA,0,0,remained uninfested,0
001907,DIPTPA,NA,42.1,845.5993611072355,3.7400477406883357,4.43746058601207,0.49787171013083403,-0.6974128453237342,0,1,0,remained uninfested,0
003875,DIPTPA,NA,42.4,783.4290144430931,3.7471483622379123,4.361095364114388,0.5412104889954884,-0.6139470018764758,0,0,0,remained uninfested,0
001441,DIPTPA,NA,42.8,884.0863464574829,3.756538102587751,4.481969641861614,0.4841156089730237,-0.7254315392738632,NA,0,0,remained uninfested,0
007114,DIPTPA,NA,43.3,1004.6016124390634,3.768152635008444,4.6097612433764175,0.4310166285207557,-0.8416086083679732,0,2,0,remained uninfested,0
007927,DIPTPA,NA,43.9,959.9108754188952,3.7819143200811256,4.564255349052795,0.4573341247003008,-0.7823410289716696,0,0,0,remained uninfested,0
007168,DIPTPA,NA,44.4,940.2586010617165,3.7932394694381792,4.5435698519473355,0.4722105168712589,-0.7503303825091565,0,0,0,remained uninfested,0
000465,DIPTPA,NA,47.3,1026.9131271867375,3.856510295497887,4.631727524444047,0.46060371367128117,-0.7752172289461597,NA,0,0,remained uninfested,0
004186,DIPTPA,NA,48.4,1380.41819160218,3.879499813722586,4.927556676643532,0.3506183871992053,-1.0480568629209461,0,0,0,remained uninfested,0
001342,DIPTPA,NA,54.9,1718.455287069931,4.005513348515485,5.146595984377156,0.3194729616364228,-1.1410826358616715,0,0,0,remained uninfested,0
129082,DRYPST,NA,18.5,262.5518906049794,2.917770732084279,3.267863647996973,0.7046226160235138,-0.350092915912694,0,1,3,gained infestation,1
075514,DRYPST,NA,21.3,232.58798624678263,3.0587070727153796,3.1466834959147563,0.9157824676894567,-0.08797642319937671,0,0,0,remained uninfested,0
001262,DRYPST,NA,24.2,407.9741028996394,3.186352633162641,3.708618606110404,0.59317490566192,-0.5222659729477633,0,2,2,gained infestation,1
052503,EUGENE,NA,18.8,247.10153014530854,2.9338568698359038,3.2072142123945735,0.7608208653724089,-0.2733573425586697,0,1,4,gained infestation,1
012488,EUGENE,NA,19.5,259.59957503989494,2.970414465569701,3.2565552548541756,0.7511568536660072,-0.28614078928447434,0,1,0,remained uninfested,0
007361,EUGENE,NA,24.5,336.8904449715037,3.1986731175506815,3.5171726954000677,0.727239384960068,-0.31849957784938643,0,0,0,remained uninfested,0
141770,EUGEOE,51,17.7,216.47908448132674,2.8735646395797834,3.0749088423051454,0.8176309523115515,-0.2013442027253618,0,0,0,remained uninfested,0
108402,EUGEOE,NA,24.8,298.22815585135186,3.2108436531709366,3.395273724233329,0.8315780892385377,-0.1844300710623925,0,0,0,remained uninfested,0
285887,FICUOB,NA,32.6,927.6863376757675,3.484312288372662,4.530108584463674,0.3514118800291518,-1.0457962960910125,0,0,0,remained uninfested,0
000108,FICUYO,NA,38.5,915.0968578232565,3.6506582412937387,4.516444822223716,0.4207204917256525,-0.865786580929977,0,2,1,gained infestation,1
007626,GUAPST,NA,27.7,718.4274946539706,3.3214324131932926,4.274479695330032,0.3855643082443783,-0.9530472821367391,0,0,0,remained uninfested,0
004851,GUAPST,NA,28.2,482.13714153354994,3.339321977944068,3.875643506589923,0.5848958225932005,-0.5363215286458554,0,4,1,gained infestation,1
005048,GUAPST,NA,29.4,511.27567723477887,3.380994674344636,3.9343238375218674,0.575032244033378,-0.5533291631772314,0,1,0,remained uninfested,0
230141,GUAPST,NA,30.3,486.0786259030624,3.4111477125153233,3.883785299514745,0.6233559425433914,-0.47263758699942165,0,0,0,remained uninfested,0
010799,GUAPST,NA,30.9,496.61221316628075,3.4307561839036995,3.9052243733464334,0.6222158694605795,-0.4744681894427334,0,0,1,gained infestation,1
003761,GUARGR,NA,34.4,1092.3131553648207,3.5380565643793527,4.693467794511592,0.3149280023869233,-1.155411230132239,0,1,0,remained uninfested,0
006750,GUARGU,20,16.7,377.95260431147943,2.8154087194227095,3.6321837093447664,0.4418543438911495,-0.8167749899220572,0,0,0,remained uninfested,0
000133,GUARGU,NA,16.9,319.84026042540086,2.8273136219290276,3.4652365919942087,0.5283887643638826,-0.6379229700651811,0,0,0,remained uninfested,0
001377,GUARGU,NA,17.5,306.4842732791477,2.8622008809294686,3.4225813503941604,0.5709917775800815,-0.5603804694646919,0,0,2,gained infestation,1
004389,GUATDU,NA,20,268.10105410115597,2.995732273553991,3.2887788839863377,0.7459873690930694,-0.2930466104323467,0,3,1,gained infestation,1
228661,GUATDU,NA,20.4,228.547920431922,3.0155349008501706,3.1291608127789425,0.8925918013800781,-0.11362591192877203,0,0,0,remained uninfested,0
